userid,college,status
maudeMessing65,DePaul University,accepted
anneHaldane4575,University of Nevada-Las Vegas,pending
anneHaldane4575,Transylvania University,accepted
anneHaldane4575,University of Alabama at Birmingham,accepted
anneHaldane4575,Stony Brook University,pending
anneHaldane4575,Rider University,accepted
tishaBerglund9857,Williams College,pending
tishaBerglund9857,University of Maine,pending
tishaBerglund9857,Florida Gulf Coast University,denied
tishaBerglund9857,Reed College,pending
tishaBerglund9857,Stevenson University,accepted
tishaBerglund9857,Hope College,pending
tishaBerglund9857,Fordham University,pending
tishaBerglund9857,University of Richmond,pending
tishaBerglund9857,California State University-Fresno,pending
tishaBerglund9857,Drexel University,accepted
tishaBerglund9857,Gordon College,accepted
tishaBerglund9857,California State University-East Bay,accepted
tishaBerglund9857,Utah State University,pending
tishaBerglund9857,University of California-Davis,accepted
tishaBerglund9857,Centre College,pending
tishaBerglund9857,John Carroll University,accepted
tishaBerglund9857,Nova Southeastern University,pending
tishaBerglund9857,Salve Regina University,accepted
cheryOrmond4280,Barnard College,pending
onidaEdelman3588,University of Illinois at Chicago,accepted
onidaEdelman3588,Eastern Illinois University,wait-listed
onidaEdelman3588,Northwestern University,pending
onidaEdelman3588,California State University-Monterey Bay,accepted
onidaEdelman3588,Stevenson University,accepted
onidaEdelman3588,Idaho State University,pending
onidaEdelman3588,St Bonaventure University,wait-listed
onidaEdelman3588,Moravian College,accepted
onidaEdelman3588,University of Central Florida,accepted
onidaEdelman3588,Stony Brook University,denied
onidaEdelman3588,University of Arkansas,pending
selindaChrisy8995,Mercer University,pending
selindaChrisy8995,New Jersey Institute of Technology,accepted
selindaChrisy8995,The College of Saint Scholastica,accepted
selindaChrisy8995,Northwestern University,denied
selindaChrisy8995,American University,denied
selindaChrisy8995,Washington & Jefferson College,pending
selindaChrisy8995,Indiana University-Bloomington,pending
selindaChrisy8995,University of San Diego,denied
selindaChrisy8995,University of Houston,accepted
selindaChrisy8995,DePaul University,pending
selindaChrisy8995,Drake University,accepted
selindaChrisy8995,University of Hartford,accepted
selindaChrisy8995,Suffolk University,pending
selindaChrisy8995,William Jewell College,pending
selindaChrisy8995,Manhattan College,pending
selindaChrisy8995,Mount Holyoke College,pending
selindaChrisy8995,Reed College,pending
selindaChrisy8995,Princeton University,pending
selindaChrisy8995,Saint Louis University,pending
ronaldaIta547,Massachusetts Institute of Technology,pending
ronaldaIta547,New York University,denied
ronaldaIta547,Wagner College,accepted
ronaldaIta547,American University,pending
ronaldaIta547,Suffolk University,pending
ronaldaIta547,Hope College,accepted
ronaldaIta547,Colgate University,denied
ronaldaIta547,DePaul University,pending
ronaldaIta547,Samford University,pending
teenaWynny7060,Illinois College,accepted
teenaWynny7060,New York University,denied
teenaWynny7060,Northwestern University,denied
teenaWynny7060,Mount Holyoke College,pending
teenaWynny7060,University of Maine,pending
teenaWynny7060,Nova Southeastern University,wait-listed
teenaWynny7060,Washington & Jefferson College,pending
teenaWynny7060,St Bonaventure University,pending
teenaWynny7060,Smith College,accepted
teenaWynny7060,Eastern Illinois University,pending
teenaWynny7060,Mercer University,pending
teenaWynny7060,Kalamazoo College,pending
dennyBelva8873,Campbell University,pending
dennyBelva8873,Stevenson University,wait-listed
dennyBelva8873,San Diego State University,denied
dennyBelva8873,University of Utah,wait-listed
dennyBelva8873,Indiana University-Bloomington,accepted
dennyBelva8873,Hope College,wait-listed
dennyBelva8873,University of Delaware,accepted
dennyBelva8873,Siena College,accepted
dennyBelva8873,Missouri University of Science and Technology,pending
dennyBelva8873,University of Massachusetts-Amherst,pending
dennyBelva8873,Manhattan College,wait-listed
dennyBelva8873,Clarkson University,pending
dennyBelva8873,New York University,pending
dennyBelva8873,Reed College,wait-listed
orelieTews3265,University of Central Florida,pending
orelieTews3265,Mississippi State University,accepted
orelieTews3265,Providence College,pending
orelieTews3265,Gannon University,pending
orelieTews3265,DePauw University,pending
orelieTews3265,University of Arizona,pending
orelieTews3265,Eastern Washington University,wait-listed
orelieTews3265,Siena College,pending
sandyeKhalid3825,Colgate University,denied
sandyeKhalid3825,St Bonaventure University,denied
sandyeKhalid3825,Stony Brook University,denied
sandyeKhalid3825,Centre College,accepted
sandyeKhalid3825,Florida Gulf Coast University,wait-listed
sandyeKhalid3825,Temple University,denied
sandyeKhalid3825,University of Delaware,pending
sandyeKhalid3825,New Jersey Institute of Technology,accepted
melindeDareece2193,University of Delaware,accepted
marielSeamus1740,Reed College,pending
keriCertie365,Eastern Washington University,pending
keriCertie365,Merrimack College,accepted
keriCertie365,The College of Saint Scholastica,pending
keriCertie365,Fordham University,accepted
keriCertie365,San Diego State University,pending
keriCertie365,Nova Southeastern University,accepted
keriCertie365,California State University-East Bay,accepted
keriCertie365,Centre College,accepted
keriCertie365,John Carroll University,accepted
keriCertie365,Iona College,accepted
keriCertie365,Saint Louis University,wait-listed
keriCertie365,The College of Wooster,accepted
keriCertie365,St Bonaventure University,pending
keriCertie365,Northwestern University,pending
